A8,1,0,0,1,0
A9,1,0,1,1,1
A11,1,1,0,0,0
A12,1,1,1,1,1
A13,1,1,1,1,1
A14,1,1,0,1,1
A15,1,0,1,0,0
A18,1,0,1,0,0
A19,1,0,0,0,1
A20,1,1,1,0,0
A21,1,1,1,1,1
A22,1,1,0,0,1
B26,1,0,0,0,0
B28,1,1,0,0,0
B29,1,0,0,1,1
B4,1,1,1,1,1
B12,1,1,1,1,1
B13,1,1,0,0,1
B14,1,0,1,1,1
B15,1,0,1,1,1
B18,1,1,1,0,0
B19,1,1,1,0,0
B20,1,1,1,0,0
B30,1,1,1,1,1
B32,1,0,1,1,1
B33,1,0,0,1,1
B34,1,0,1,1,1
B39,1,0,0,0,1
B43,1,1,1,1,1
B44,1,1,0,0,0
B16,1,1,1,0,0
B17,1,0,1,1,1
B21,1,1,0,1,1
B22,1,1,0,0,0
B23,1,1,0,1,1
B24,1,0,1,1,1
B27,1,1,0,1,1
B31,1,1,1,1,0
B35,1,0,1,1,1
B38,1,1,1,1,1
B40,1,1,1,1,1
B41,1,1,0,1,1
B42,1,1,1,1,1
B45,1,0,1,0,0
B46,1,1,1,1,1
B47,1,1,1,1,1
B48,1,1,1,0,0
B49,1,0,1,0,0
